EMAIL,NOME,SEGMENTO
atendimento@clinicahubner.com.br,Clínica Hubner,Estética Avançada
contato@institutokmedicina.com.br,IK medicina integrada,Estética
contato@brunnaborges.com.br,Brunna Borges Dermatologia,Dermatologia
contato@skinlaser.com.br,SkinLaser,Estética/Laser
contato@jkesteticaavancada.com.br,JK Estética Avançada,Estética VIP
apadacruz@hotmail.com,Clínica Parque da Cidade,Estética
contato@clinicaluque.com.br,Clínica Luque,Estética
contato@lucianapepino.com.br,Clínica Luciana Pepino,Cirurgia/Estética
ouvidoria@onodera.com.br,Onodera Estética,Franquia Estética
contato@royalface.com.br,Royal Face,Harmonização
contato@espacolaser.com.br,Espaçolaser,Depilação/Estética
contato@priscilapalazzo.com.br,Clínica Priscila Palazzo,Estética
contato@clinicamais.com.br,Clínica Mais,Estética
contato@clinicavolpe.com.br,Clínica Volpe,Estética
contato@adrianavilarinho.com.br,Clínica Dra. Adriana Vilarinho,Dermatologia
